,Specimen,Length,Location,Height,maxLoad,extensionAtMaxLoad,workToMaxLoad,loadAtMaxExt,maxExtension,workToMaxExtension,loadAtCrack,ExtensionAtCrack,workToCrack,loadAtHoldStart,loadAtHoldEnd,trialType,Individual,Orientation,Position,new_column,Stress,Strain
1,CB1,111,LA,9,41.036,6.112,75.0756975,41.036,6.112,75.0756975,7.765,2.911,8.58818,41.036,21.027,C,B1,L,A,F,0.64504516,-0.320888889
2,CB1,111,DA,6,23.47,4.11,24.7182905,23.47,4.11,24.7182905,20.509,3.852,19.115322,23.47,15.58,C,B1,D,A,F,0.830081448,-0.315
3,CB1,111,LMA,7,72.735,4.828,101.3895025,72.735,4.828,101.3895025,12.985,1.809,8.4782195,72.735,39.007,C,B1,L,MA,F,1.88998119,-0.310285714
4,CB1,111,DTP,4,14.815,2.824,13.021923,14.815,2.824,13.021923,13.05,2.612,10.1376,14.815,9.75,C,B1,D,TP,F,1.178940241,-0.294
5,CB1,111,LP,4,17.49,2.715,16.125677,13.561,2.827,17.825767,17.49,2.715,16.125677,10.275,9.685,C,B1,L,P,F,1.391809977,-0.32125
6,CB1,111,DP,3,11.54,2.112,6.054952,11.54,2.112,6.054952,11.53,2.11,6.031882,10.73,8.255,C,B1,D,P,F,1.632576038,-0.296
7,CB2,106,LA,8,34.589,5.431,63.9359025,34.589,5.431,63.9359025,24.11,4.703,42.8458745,34.589,19.51,C,B2,L,A,F,0.688126291,-0.321125
8,CB2,106,DA,6,46.059,4.123,65.6885835,46.059,4.123,65.6885835,22.667,2.994,28.2216355,46.049,19.245,C,B2,D,A,F,1.629003894,-0.312833333
9,CB2,106,LMA,6,24.535,4.105,38.6833075,24.35,4.118,39.00106,12.17,2.603,12.161735,24.525,12.688,C,B2,L,MA,F,0.867748118,-0.315833333
10,CB2,106,DTP,4,22.38,2.831,19.0961585,22.38,2.831,19.0961585,12.25,2.231,9.4707395,22.38,13.105,C,B2,D,TP,F,1.780943813,-0.29225
11,CB2,106,DP,4,14.354,2.853,13.70501,14.354,2.853,13.70501,12.892,2.612,10.4601985,14.354,9.2,C,B2,D,P,F,1.142255027,-0.28675
13,CB3,128,LA,10,64.569,6.841,166.183335,63.446,6.843,166.31135,8.194,2.03,6.464033,64.569,32.934,C,B3,L,A,F,0.822118042,-0.3159
14,CB3,128,DA,7,44.212,4.806,68.485961,43.954,4.821,69.147206,8.485,2.393,10.179398,44.212,19.579,C,B3,D,A,F,1.148825852,-0.313428571
15,CB3,128,LMA,6,32.899,4.12,55.6737445,32.899,4.12,55.6737445,11.635,1.929,9.9938205,32.899,14.08,C,B3,L,MA,F,1.163564105,-0.313333333
16,CB3,128,DTP,4,35.121,2.825,32.232233,34.82,2.827,32.302174,9.87,1.719,9.946967,35.121,13.87,C,B3,D,TP,F,2.794840378,-0.29375
17,CB3,128,LP,5,23.079,3.466,35.7252345,23.044,3.468,35.7713575,12.515,2.085,13.6554285,23.044,9.845,C,B3,L,P,F,1.175403818,-0.3068
18,CB3,128,DP,4,26.222,2.842,22.5249285,26.222,2.842,22.5249285,9.208,1.753,6.877295,26.222,12.852,C,B3,D,P,F,2.086680459,-0.2895
19,CB4,132,LA,9.5,56.299,6.044,125.822073,45.854,6.47,146.5991695,9.36,2.577,13.2994645,56.159,24.749,C,B4,L,A,F,0.794261641,-0.363789474
20,CB4,132,DA,9,63.828,6.16,135.576172,63.562,6.172,136.340512,9.575,2.528,13.4319155,63.828,29.46,C,B4,D,A,F,1.003312761,-0.315555556
21,CB4,132,LMA,7,35.759,4.153,54.620981,31.949,4.821,76.394246,12.235,2.47,14.925894,35.759,14.825,C,B4,L,MA,F,0.929179038,-0.406714286
22,CB4,132,DTP,5,51.464,3.419,56.335517,51.464,3.419,56.335517,8.74,1.435,7.107897,51.464,27.052,C,B4,D,TP,F,2.621039997,-0.3162
23,CB4,132,LP,5,28.405,3.42,36.6932415,28.21,3.422,36.7498565,12.153,1.981,12.4726855,28.405,15.674,C,B4,L,P,F,1.446654771,-0.316
24,CB4,132,DP,3.5,34.039,2.428,28.9029985,34.039,2.428,28.9029985,9.995,1.167,6.65456,34.039,20.121,C,B4,D,P,F,3.537942928,-0.306285714
25,CB5,108,LA,9,44.434,6.11,107.650644,44.434,6.11,107.650644,27.37,4.985,67.92023,44.434,26.14,C,B5,L,A,F,0.698458345,-0.321111111
26,CB5,108,DA,7,72.511,4.817,108.981107,71.398,4.831,109.98847,29.11,3.223,36.60661,72.511,34.931,C,B5,D,A,F,1.884160666,-0.311857143
27,CB5,108,LMA,6.5,25.945,4.362,46.927635,25.815,4.42,48.42808,15.37,2.929,17.113597,25.855,12.69,C,B5,L,MA,F,0.781874556,-0.328923077
28,CB5,108,DTP,4.5,40.004,3.128,43.896605,40.004,3.128,43.896605,27.354,2.653,28.1438995,40.004,21.954,C,B5,D,TP,F,2.51529258,-0.304888889
29,CB5,108,LP,4.5,34.601,3.119,43.099344,34.601,3.119,43.099344,11.408,1.497,8.960195,34.601,18.65,C,B5,L,P,F,2.175573407,-0.306888889
30,CB5,108,DP,3,27.935,2.127,22.1954935,27.935,2.127,22.1954935,22.69,1.803,14.1339745,27.935,15.44,C,B5,D,P,F,3.951994076,-0.291
